Source,Preferred society name,Society id,Cross-dataset id,Original society name,eHRAF name,eHRAF code,Revised latitude,Revised longitude,Original latitude,Original longitude,Glottolog language/dialect id,Glottolog language/dialect name,ISO code,Language family
Ethnographic Atlas,Kutubu,Ie16,xd792,Kutubu (Ie16),,,-6,143,-6,143,foii1241,Foi,foi,East Kutubu
Western North American Indian database,Kuyuidokado,WNAI116,xd1160,Kuyui-Dokado Northern Paiute (J116),Northern Paiute,NR13,40,-119.5,40,119.5,sout2967,South Northern Paiute,,Uto-Aztecan
Ethnographic Atlas,San Juan,Nd56,xd1192,San Juan (Nd56),,,36,-111,36,-111,sout2969,Southern Paiute,,Uto-Aztecan
Binford Hunter-Gatherer,Kuyuidokado,B208,xd1160,Kuyuidokado (Pyramid Lake Paiute) (B208),Northern Paiute,NR13,40,-119.6,40,-119.6,sout2967,South Northern Paiute,,Uto-Aztecan
Ethnographic Atlas,Kuyuidokado,Nd27,xd1160,Kuyuidokado (Nd27),Northern Paiute,NR13,40,-119,40,-119,sout2967,South Northern Paiute,,Uto-Aztecan
Binford Hunter-Gatherer,Tillamook,B281,xd1080,Tillamook (B281),,,45.4,-123.82,45.4,-123.82,till1254,Tillamook,til,Salishan
Ethnographic Atlas,Kwaio,Ig18,xd850,Kwaio (Ig18),,,-9,161,-9,161,kwai1243,Kwaio,kwd,Austronesian
Binford Hunter-Gatherer,Kwakiutl,B288,xd1090,Kwakiutl (B288),,,50.42,-126.67,50.42,-126.67,kwak1269,Kwak'wala,kwk,Wakashan
Ethnographic Atlas,Zuni,Nh4,xd1280,Zuni (Nh4),Zuni,NT23,35,-109,35,-109,zuni1245,Zuni,zun,Zuni
Binford Hunter-Gatherer,Wegamon Ojibwa,B341,xd1006,Wegamon Ojibwa (B341),,,52.79,-90.64,52.79,-90.64,seve1241,Severn River Ojibwa,,Algic
Western North American Indian database,Kwakiutl,WNAI10,xd1090,Fort Rupert Kwakiutl (J10),,,50.86,-127,50.8,127,kwak1269,Kwak'wala,kwk,Wakashan
Ethnographic Atlas,Kwakiutl,Nb3,xd1090,Kwakiutl (Nb3),,,51,-127.49,51,-128,kwak1269,Kwak'wala,kwk,Wakashan
Western North American Indian database,San Juan,WNAI134,xd1192,San Juan Southern Paiute (J134),,,37,-110,37,110,sout2969,Southern Paiute,,Uto-Aztecan
Ethnographic Atlas,Kwere,Ad27,xd95,Kwere (Ad27),,,-7,39,-7,39,kwer1261,Kwere,cwe,Atlantic-Congo
Standard cross-cultural sample,Kwoma,SCCS95,xd788,Kwoma (SCCS95),Kwoma,OJ13,-4.17,142.67,-4.17,142.67,kwom1262,Kwoma,kmo,Sepik
Binford Hunter-Gatherer,Timponogas,B209,xd991,Ute-timanogas (B209),,,40.22,-111.81,40.22,-111.81,utee1244,Ute,,Uto-Aztecan
Ethnographic Atlas,Kwoma,Ie12,xd788,Kwoma (Ie12),Kwoma,OJ13,-4,142,-4,142,kwom1262,Kwoma,kmo,Sepik
Ethnographic Atlas,Labrador Inuit,Na23,xd1039,Labrador Eskimo (Na23),,,58,-65,58,-65,labr1244,Labrador Eskimo,,Eskimo-Aleut
Binford Hunter-Gatherer,Labrador Inuit,B372,xd1039,Labrador Inuit (B372),,,57.83,-62.32,57.97,-62.02,labr1244,Labrador Eskimo,,Eskimo-Aleut
Ethnographic Atlas,Labwor,Aj22,xd398,Labwor (Aj22),,,3,34,3,34,labw1238,Labwor,lth,Nilotic
Western North American Indian database,Sanpoil,WNAI100,xd1174,Sanpoil (J100),Southeast,NR19,48,-118.7,48,118.7,sanp1257,Sanpoil,,Salishan
Ethnographic Atlas,Lacandon,Sa10,xd1310,Lacandon (Sa10),,,17,-92,17,-92,laca1243,Lacandon,lac,Mayan
Ethnographic Atlas,Laguna,Nh14,xd1264,Laguna (Nh14),,,35,-107,35,-107,acom1246,Acoma,,Keresan
Ethnographic Atlas,Timucua,Ng8,xd1257,Timucua (Ng8),,,27,-82,27,-82,timu1245,Timucua,tjm,Timucua
Ethnographic Atlas,Laka,Ai13,xd341,Laka (Ai13),,,8,16,8,16,laka1252,Laka (Nigeria),lak,Atlantic-Congo
Ethnographic Atlas,Lakalai,Ig7,xd859,Lakalai (Ig7),,,-5.5,150.81,-5,151,naka1262,Nakanai,nak,Austronesian
Ethnographic Atlas,Lake Miwok,Nc21,xd1120,Lake Miwok (Nc21),,,38.75,-123.2,38,-123,lake1258,Lake Miwok,lmw,Miwok-Costanoan
Binford Hunter-Gatherer,Lake Miwok,B170,xd1120,Lake Miwok (B170),,,38.79,-122.48,38.79,-122.48,lake1258,Lake Miwok,lmw,Miwok-Costanoan
Binford Hunter-Gatherer,Sanpoil,B323,xd1174,Sanpoil (B323),Southeast,NR19,47.94,-118.44,47.94,-118.44,sanp1257,Sanpoil,,Salishan
Ethnographic Atlas,Lala,Ac33,xd59,Lala (Ac33),,,-15,31,-15,31,lala1264,Lala-Bisa,leb,Atlantic-Congo
Ethnographic Atlas,Lalia,Ae23,xd142,Lalia (Ae23),,,-1,23,-1,23,ngan1302,Ngando-Lalia,nxd,Atlantic-Congo
Ethnographic Atlas,Tira,Ai41,xd372,Tira (Ai41),,,11,30,11,30,tira1254,Tira,tic,Heibanic
Ethnographic Atlas,Lamba,Ac5,xd71,Lamba (Ac5),,,-13,28,-13,28,lamb1271,Lamba,lam,Atlantic-Congo
Ethnographic Atlas,Lamet,Ej1,xd716,Lamet (Ej1),,,20,101,20,101,lame1256,Lamet,lbn,Austroasiatic
Standard cross-cultural sample,Lamet,SCCS72,xd716,Lamet (SCCS72),,,20,100.67,20,100.67,lame1256,Lamet,lbn,Austroasiatic
Ethnographic Atlas,Abron,Af38,xd217,Abron (Af38),,,7.53,-2.15,5,-3,abro1238,Abron,abr,Atlantic-Congo
Ethnographic Atlas,Sanpoil,Nd4,xd1174,Sanpoil (Nd4),Southeast,NR19,48,-119,48,-119,sanp1257,Sanpoil,,Salishan
Binford Hunter-Gatherer,Aché,B47,xd920,Guayaki (Ache) (B47),,,-25.7,-55.38,-25.7,-55.38,ache1246,Aché,guq,Tupian
Binford Hunter-Gatherer,Lardil,B102,xd951,Lardil (B102),,,-16.48,139.32,-16.3,139.3,lard1243,Lardil,lbz,Tangkic
Ethnographic Atlas,Tiriki,Ad40,xd110,Tiriki (Ad40),,,0,35,0,35,idak1243,Idakho-Isukha-Tiriki,ida,Atlantic-Congo
Binford Hunter-Gatherer,Larikia,B83,xd938,Larikia (B83),,,-12.6,130.79,-12.6,130.78,lara1258,Laragia,lrg,Laragia
Binford Hunter-Gatherer,Lassik,B167,xd1098,Lassik (B167),,,40.18,-123.16,40.18,-123.16,wail1244,Wailaki,wlk,Athapaskan-Eyak-Tlingit
Ethnographic Atlas,Lassik,Nb37,xd1098,Lassik (Nb37),,,40,-123,40,-123,wail1244,Wailaki,wlk,Athapaskan-Eyak-Tlingit
Ethnographic Atlas,Latvians,ch21,xd559,Latvians (ch21),,,57,24,57,24,latv1249,Latvian,lav,Indo-European
Western North American Indian database,Santa Ana,WNAI163,xd1262,Santa Ana Keres (J163),,,35.2,-106.4,35.2,106.4,sant1426,Santa Ana,,Keresan
Ethnographic Atlas,Lau,Ih4,xd870,Lau (Ih4),Lau,OQ06,-17.74,-179.31,-18,179,laua1243,Lauan,llx,Austronesian
Ethnographic Atlas,Abkhaz,Ci12,xd577,Abkhaz (Ci12),Abkhaz,RI03,43,41,43,41,abkh1244,Abkhazian,abk,Abkhaz-Adyge
Standard cross-cultural sample,Tiv,SCCS16,xd320,Tiv (SCCS16),Tiv,FF57,7.25,9,7.25,9,tivv1240,Tiv,tiv,Atlantic-Congo
Standard cross-cultural sample,Abkhaz,SCCS55,xd577,Abkhaz (SCCS55),Abkhaz,RI03,43.13,40.77,43.13,40.77,abkh1244,Abkhazian,abk,Abkhaz-Adyge
Ethnographic Atlas,Lele,Ac23,xd48,Lele (Ac23),,,-5,21,-5,21,lele1265,Lele (Democratic Republic of Congo),lel,Atlantic-Congo
Ethnographic Atlas,Lenca,Sa12,xd1312,Lenca (Sa12),,,14,-88,14,-88,lenc1242,Lenca-Honduras,,Lencan
Ethnographic Atlas,Abipón,Sh3,xd1390,Abipon (Sh3),Abipon,SI04,-29,-61,-29,-61,abip1241,Abipon,axb,Guaicuruan
Ethnographic Atlas,Santa Ana,Nh12,xd1262,Santa Ana (Nh12),,,35,-107,35,-107,sant1426,Santa Ana,,Keresan
Ethnographic Atlas,Lenge,Ab16,xd17,Lenge (Ab16),,,-25,34,-25,34,leng1257,Lengue,,Atlantic-Congo
Standard cross-cultural sample,Lengua,SCCS182,xd1396,Lengua (SCCS182),,,-23,-58.5,-23,-58.5,leng1262,Lengua,leg,Lengua-Mascoy
Ethnographic Atlas,Tiv,Ah3,xd320,Tiv (Ah3),Tiv,FF57,7,9,7,9,tivv1240,Tiv,tiv,Atlantic-Congo
Ethnographic Atlas,Lengua,Sh9,xd1396,Lengua (Sh9),,,-23,-59,-23,-59,leng1262,Lengua,leg,Lengua-Mascoy
Standard cross-cultural sample,Lepcha,SCCS68,xd655,Lepcha (SCCS68),Lepcha,AK05,27.5,89,27.5,89,lepc1244,Lepcha,lep,Sino-Tibetan
Ethnographic Atlas,Lepcha,Ee3,xd655,Lepcha (Ee3),Lepcha,AK05,28,89,28,89,lepc1244,Lepcha,lep,Sino-Tibetan
Ethnographic Atlas,Lese,Ai30,xd360,Lese (Ai30),,,2,29,2,29,lese1243,Lese,les,Central Sudanic
Ethnographic Atlas,Santa Clara,Nh26,xd1277,Santa Clara (Nh26),,,36,-106,36,-106,sant1421,Santa Clara,,Kiowa-Tanoan
Standard cross-cultural sample,Lesu,SCCS97,xd856,New Ireland (SCCS97),Lesu,OM24,-2.71,151,-2.5,151,nots1237,Notsi,ncf,Austronesian
Ethnographic Atlas,Lesu,Ig4,xd856,Lesu (Ig4),Lesu,OM24,-3.06,151.66,-3,153,nots1237,Notsi,ncf,Austronesian
Standard cross-cultural sample,Tiwi,SCCS90,xd778,Tiwi (SCCS90),Tiwi,OI20,-11.38,131,-11.38,131,tiwi1244,Tiwi,tiw,Tiwi
Ethnographic Atlas,Bafia,Ae48,xd169,Bafia (Ae48),,,5,11,5,11,bafi1243,Bafia,ksf,Atlantic-Congo
Ethnographic Atlas,Bacairi,Si3,xd1400,Bacairi (Si3),Bakairi,SP07,-14,-55,-14,-55,baka1277,Bakairí,bkq,Cariban
Ethnographic Atlas,Bagirmi,Ai21,xd350,Bagirmi (Ai21),,,11,17,11,17,bagi1246,Bagirmi,bmi,Central Sudanic
Western North American Indian database,Santa Clara,WNAI168,xd1277,Santa Clara Tewa (J168),,,36,-106.3,36,106.3,sant1421,Santa Clara,,Kiowa-Tanoan
Ethnographic Atlas,Baditu,Ca40,xd449,Baditu (Ca40),,,6,38,6,38,koor1239,Koorete,kqy,Ta-Ne-Omotic
Binford Hunter-Gatherer,Baffin Island Inuit,B386,xd1030,Baffin Island Inuit (B386),,,65.21,-64.65,65,-65,baff1240,Baffinland Eskimo,,Eskimo-Aleut
Ethnographic Atlas,Tiwi,Id3,xd778,Tiwi (Id3),Tiwi,OI20,-11.56,130.81,-12,131,tiwi1244,Tiwi,tiw,Tiwi
Standard cross-cultural sample,Bambara,SCCS22,xd244,Bambara (SCCS22),Bambara,FA08,12.5,-7,12.5,-7,bamb1269,Bambara,bam,Mande
Ethnographic Atlas,Bali Nyonga,Ae49,xd170,Bali (Ae49),,,6,10,6,10,mung1266,Mungaka,mhk,Atlantic-Congo
Standard cross-cultural sample,Banen,SCCS15,xd173,Banen (SCCS15),,,4.67,10.8,4.67,10.8,tune1261,Tunen,tvu,Atlantic-Congo
Ethnographic Atlas,Banda,Ai1,xd337,Banda (Ai1),,,7,22,7,22,west2458,West Central Banda,bbp,Atlantic-Congo
Ethnographic Atlas,Santa Cruz Islanders,Ih9,xd875,Santa Cruz (Ih9),Santa Cruz,ON13,-10.73,165.85,-11,166,natu1246,Natügu,ntu,Austronesian
Ethnographic Atlas,Bamileke,Ae5,xd171,Bamileke (Ae5),,,5,10,5,10,fefe1239,Fe'fe',fmp,Atlantic-Congo
Ethnographic Atlas,Badjau Tawi-Tawi,Ia13,xd736,Badjau Tawi-Tawi (Ia13),,,5.09,119.97,5,120,sout2918,Southern Sama,ssb,Austronesian
Binford Hunter-Gatherer,Tiwi,B95,xd778,Tiwi (B95),Tiwi,OI20,-11.59,130.87,-11.59,130.87,tiwi1244,Tiwi,tiw,Tiwi
Ethnographic Atlas,Banaro,Ie27,xd804,Banaro (Ie27),,,-4.56,144.34,-4,145,bana1292,Banaro,byz,Banaro
Ethnographic Atlas,Bakongo,Ac14,xd38,Kongo (Ac14),,,-7,15,-7,15,sans1272,Cimbala-Cizali,kwy,Atlantic-Congo
Ethnographic Atlas,Balanta,Ag15,xd250,Balante (Ag15),,,12,-16,12,-16,bala1301,Balanta-Kentohe,ble,Atlantic-Congo
Binford Hunter-Gatherer,Southern Paiute (Kaibab and Las Vegas),B204,xd1189,Kaibab Southern Paiute (B204),,,36.9,-112.55,36.9,-112.55,sout2969,Southern Paiute,,Uto-Aztecan
Standard cross-cultural sample,Balinese,SCCS84,xd752,Balinese (SCCS84),Bali,OF07,-8.5,115.33,-8.5,115.33,bali1278,Balinese,ban,Austronesian
Ethnographic Atlas,Santal,Ef1,xd661,Santal (Ef1),Santal,AW42,24,87,24,87,sant1410,Santali,sat,Austroasiatic
Standard cross-cultural sample,Babylonians,SCCS45,xd590,Babylonians (SCCS45),,,32.58,44.75,32.58,44.75,akka1240,Akkadian,akk,Afro-Asiatic
Ethnographic Atlas,Bafute,Ah8,xd335,Wute (Ah8),,,6,12,6,12,vute1244,Vute,vut,Atlantic-Congo
Binford Hunter-Gatherer,Tjapwurong,B133,xd977,Tjapwurong (B133),,,-35.86,141.38,-35.86,141.38,djab1234,Djabwurrung,tjw,Pama-Nyungan
Ethnographic Atlas,Bakovi,Ig15,xd847,Bakovi (Ig15),,,-5.42,150.05,-5,150,bola1250,Bola,bnp,Austronesian
Ethnographic Atlas,Balinese,Ib3,xd752,Balinese (Ib3),Bali,OF07,-8.18,115.02,-8,115,bali1278,Balinese,ban,Austronesian
Ethnographic Atlas,Wenatchi,Nd16,xd1148,Wenatchi (Nd16),,,48,-121,48,-121,wena1241,Wenatchi,,Salishan
Ethnographic Atlas,Bakhtiari,Ea8,xd607,Bakhtiari (Ea8),,,33,48,33,48,bakh1245,Bakhtiari,bqi,Indo-European
Binford Hunter-Gatherer,Bambote,B62,xd925,Bambote (B62),,,-6.64,28.26,-6.64,28.26,holo1240,Holoholo,hoo,Atlantic-Congo
Standard cross-cultural sample,Santal,SCCS62,xd661,Santal (SCCS62),Santal,AW42,23.5,87.17,23.5,87.17,sant1410,Santali,sat,Austroasiatic
Binford Hunter-Gatherer,Badjalang,B119,xd966,Badjalang (B119),,,-29.59,152.78,-29.59,152.78,band1339,Yugambeh-Bandjalang,bdy,Pama-Nyungan
Standard cross-cultural sample,Badjau Tawi-Tawi,SCCS86,xd736,Badjau (SCCS86),,,5,120,5,120,sout2918,Southern Sama,ssb,Austronesian
Ethnographic Atlas,Tlaxcalans,Nj9,xd1308,Tlaxdalans (Nj9),,,19,-98,19,-98,cent2132,Tlaxcala-Puebla-Central Nahuatl,nhn,Uto-Aztecan
Ethnographic Atlas,Bako,Ca23,xd430,Bako (Ca23),,,6,37,6,37,aari1239,Aari,aiw,South Omotic
Ethnographic Atlas,Bajuni,Ad1,xd76,Bajun (Ad1),,,-2,41,-2,41,baju1245,Bajuni,,Atlantic-Congo
Binford Hunter-Gatherer,Baka,B63,xd926,Baka (B63),,,2.39,15.31,2.39,15.31,baka1272,Baka (Cameroon),bkc,Atlantic-Congo
Ethnographic Atlas,Bakwe,Af46,xd226,Bakwe (Af46),,,5,-7,5,-7,bakw1243,Bakwé,bjw,Atlantic-Congo
Ethnographic Atlas,Santee,Ne20,xd1220,Santee (Ne20),,,45,-94,45,-94,dako1258,Dakota,dak,Siouan
Ethnographic Atlas,Bachama,Cb27,xd477,Bachama (Cb27),,,10,12,10,12,baca1246,Bacama,bcy,Afro-Asiatic
Ethnographic Atlas,Bambara,Ag1,xd244,Bambara (Ag1),Bambara,FA08,13,-7,13,-7,bamb1269,Bambara,bam,Mande
Binford Hunter-Gatherer,Tlicho,B361,xd1032,Dogrib (B361),,,63.85,-115.61,63.85,-115.61,dogr1252,Dogrib,dgr,Athapaskan-Eyak-Tlingit
Ethnographic Atlas,Baffin Island Inuit,Na13,xd1030,Baffinland (Na13),,,65.24,-64.63,65,-65,baff1240,Baffinland Eskimo,,Eskimo-Aleut
Ethnographic Atlas,Baiga,Eg9,xd685,Baiga (Eg9),,,22,81,22,81,chha1249,Chhattisgarhi,hne,Indo-European
Ethnographic Atlas,Baga,Ag14,xd249,Baga (Ag14),,,10,-14,10,-14,baga1273,Baga Koga,bgo,Atlantic-Congo
Ethnographic Atlas,Bamum,Ae50,xd172,Bamum (Ae50),,,6,11,6,11,bamu1253,Bamun,bax,Atlantic-Congo
Ethnographic Atlas,Sanusi,Cd20,xd519,Sanusi (Cd20),Libyan Bedouin,MT09,31,22,31,22,liby1240,Libyan Arabic,ayl,Afro-Asiatic
Ethnographic Atlas,Babylonians,Cj4,xd590,Babylonians (Cj4),,,32,45,32,45,akka1240,Akkadian,akk,Afro-Asiatic
Ethnographic Atlas,Banna,Ca19,xd425,Banna (Ca19),,,6,36,6,36,hame1242,Hamer-Banna,amf,South Omotic
Ethnographic Atlas,Tlicho,Na15,xd1032,Dogrib (Na15),,,63,-117,63,-117,dogr1252,Dogrib,dgr,Athapaskan-Eyak-Tlingit
Ethnographic Atlas,Banen,Ae51,xd173,Banen (Ae51),,,5,11,5,11,tune1261,Tunen,tvu,Atlantic-Congo
Ethnographic Atlas,Baboa,Ae7,xd183,Babwa (Ae7),,,3,25,3,25,kwaa1265,Kwa',bko,Atlantic-Congo
Ethnographic Atlas,Sapei,Aj27,xd403,Sapei (Aj27),,,1,35,1,35,kups1238,Kupsabiny,kpz,Nilotic
Binford Hunter-Gatherer,Bannock,B252,xd1200,Bannock (B252),,,43.66,-112.32,43.66,-112.32,bann1248,Bannock,,Uto-Aztecan
Ethnographic Atlas,Bannock,Nd63,xd1200,Bannock (Nd63),,,43,-112,43,-112,bann1248,Bannock,,Uto-Aztecan
Binford Hunter-Gatherer,Tlingit,B292,xd1082,Tlingit (B292),Tlingit,NA12,57,-133.59,57,-133.59,tlin1245,Tlingit,tli,Athapaskan-Eyak-Tlingit
Ethnographic Atlas,Banyang,Af16,xd193,Banyang (Af16),,,6,9,6,9,keny1279,Kenyang,ken,Atlantic-Congo
Ethnographic Atlas,Banyaruanda,Ae10,xd128,Ruanda (Ae10),Rwandans,FO57,-2,30,-2,30,kiny1244,Kinyarwanda,kin,Atlantic-Congo
Ethnographic Atlas,Banyun,Ag16,xd251,Banyune (Ag16),,,12,-16,12,-16,bain1259,Bainounk-Gujaher,bab,Atlantic-Congo
Ethnographic Atlas,Barabish,Cc7,xd504,Barabish (Cc7),,,20,-5,20,-5,hass1238,Hassaniyya,mey,Afro-Asiatic
Ethnographic Atlas,Sapo,Af49,xd229,Sapo (Af49),,,6,-9,6,-9,sapo1251,Sapo,krn,Atlantic-Congo
Ethnographic Atlas,Barabra,Cd1,xd507,Barabra (Cd1),,,23,33,23,33,kenu1236,Kenuzi-Dongola,kzh,Nubian
Standard cross-cultural sample,Barabra,SCCS39,xd507,Kenuzi Nubians  (SCCS39),,,23,39.11,23,38.75,kenu1236,Kenuzi-Dongola,kzh,Nubian
Western North American Indian database,Tlingit,WNAI2,xd1082,South Tlingit (J2),Tlingit,NA12,57,-133.59,57,134,tlin1245,Tlingit,tli,Athapaskan-Eyak-Tlingit
Standard cross-cultural sample,Barama River Carib,SCCS164,xd1346,Barama Carib (SCCS164),Barama River Carib,SR09,7.42,-60.17,7.42,-60.17,mura1272,Murato,,Cariban
Ethnographic Atlas,Barama River Carib,Sc3,xd1346,Barama Carib (Sc3),Barama River Carib,SR09,5,-59,5,-59,mura1272,Murato,,Cariban
Ethnographic Atlas,Bari,Aj8,xd413,Bari (Aj8),,,5,32,5,32,ligo1238,Ligo,,Nilotic
Ethnographic Atlas,Barí (Motilon),Sb3,xd1328,Motilon (Sb3),,,9,-72,9,-72,bari1297,Barí,mot,Chibchan
Ethnographic Atlas,Sara,Ai22,xd351,Sara (Ai22),,,9,18,9,18,sarr1246,Sar,mwm,Central Sudanic
Ethnographic Atlas,Basa,Ah11,xd300,Basa (Ah11),,,8,8,8,8,basa1282,Basa (Nigeria),bzw,Atlantic-Congo
Ethnographic Atlas,Basakomo,Ah12,xd301,Basakomo (Ah12),,,8,7,8,7,basa1282,Basa (Nigeria),bzw,Atlantic-Congo
Ethnographic Atlas,Tlingit,Nb22,xd1082,Tlingit (Nb22),Tlingit,NA12,58.12,-133.92,58,-134,tlin1245,Tlingit,tli,Athapaskan-Eyak-Tlingit
Ethnographic Atlas,Basari,Ag48,xd286,Basari (Ag48),,,9,1,9,1,ntch1242,Ntcham,bud,Atlantic-Congo
Ethnographic Atlas,Bashi,Ae13,xd131,Bashi (Ae13),,,-2,29,-2,29,shii1238,Shi,shr,Atlantic-Congo
Ethnographic Atlas,Bashkir,ch12,xd549,Bashkir (ch12),,,54,56,54,56,bash1264,Bashkir,bak,Turkic
Ethnographic Atlas,Basketo,Ca28,xd435,Basketo (Ca28),,,6,37,6,37,bask1236,Basketo,bst,Ta-Ne-Omotic
Ethnographic Atlas,Saramaccan ,Sc6,xd1349,Saramacca (Sc6),Saramaka,SR15,4,-56,4,-56,sara1340,Saramaccan,srm,Indo-European
Ethnographic Atlas,Bassari,Ag21,xd257,Bassari (Ag21),,,12,-13,12,-13,bass1258,Bassari-Tanda,bsc,Atlantic-Congo
Standard cross-cultural sample,Basseri,SCCS58,xd605,Basseri (SCCS58),Basseri,MA10,29,53,29,53,bass1257,Basseri,,Indo-European
Ethnographic Atlas,Toba,Sh8,xd1395,Toba (Sh8),Toba,SI12,-25,-60,-25,-60,toba1269,Toba,tob,Guaicuruan
Ethnographic Atlas,Basseri,Ea6,xd605,Basseri (Ea6),Basseri,MA10,30,34,30,34,bass1257,Basseri,,Indo-European
Ethnographic Atlas,Bata,Ah34,xd325,Bata (Ah34),,,10,13,10,13,bata1314,Bata,bta,Afro-Asiatic
Ethnographic Atlas,Baule,Af9,xd243,Baule (Af9),,,8,-5,8,-5,baou1238,Baoulé,bci,Atlantic-Congo
Binford Hunter-Gatherer,Bayaka,B61,xd924,Bayaka (B61),,,3.58,17.76,3.58,17.76,beka1240,Beka,,Atlantic-Congo
Standard cross-cultural sample,Saramaccan ,SCCS165,xd1349,Saramacca (SCCS165),Saramaka,SR15,3.5,-55.75,3.5,-55.75,sara1340,Saramaccan,srm,Indo-European
Ethnographic Atlas,Mongo,Ae24,xd143,Mongo (Ae24),,,1,22,1,22,long1393,Longo (Democratic Republic of Congo),,Atlantic-Congo
Binford Hunter-Gatherer,Mono Lake Northern Paiute,B205,xd989,Mono Lake Paiute (B205),,,38.11,-118.45,38.11,-118.45,sout2967,South Northern Paiute,,Uto-Aztecan
Standard cross-cultural sample,Montagnais,SCCS125,xd1048,Montagnais (SCCS125),Montagnais,NH06,50,-74,50,-74,mont1268,Montagnais,moe,Algic
Binford Hunter-Gatherer,Montagnais,B342,xd1048,Montagnais (B342),Montagnais,NH06,52.42,-63.33,52.42,-63.33,mont1268,Montagnais,moe,Algic
Ethnographic Atlas,Montagnais,Na32,xd1048,Montagnais (Na32),Montagnais,NH06,48,-72,48,-72,mont1268,Montagnais,moe,Algic
Binford Hunter-Gatherer,Sarcee,B260,xd1226,Sarsi (B260),,,53.15,-111.04,53.15,-111.04,sars1236,Sarsi,srs,Athapaskan-Eyak-Tlingit
Ethnographic Atlas,Moro,Ai40,xd371,Moro (Ai40),,,11,30,11,30,moro1285,Moro,mor,Heibanic
Ethnographic Atlas,Moroccans,Cd16,xd514,Moroccans (Cd16),,,33,-8,33,-8,sout3117,Southern Morocco Arabic,,Afro-Asiatic
Ethnographic Atlas,Moru,Ai34,xd364,Moru (Ai34),,,5,30,5,30,moru1253,Moru,mgd,Central Sudanic
Ethnographic Atlas,Mossi (Ouagadougou),Ag47,xd285,Mossi Ouagadou (Ag47),Mossi,FA28,12,-2,12,-2,moss1236,Mossi,mos,Atlantic-Congo
Ethnographic Atlas,Mossi (Yatenga),Ag2,xd255,Yatenga (Ag2),Mossi,FA28,13,-2,13,-2,moss1236,Mossi,mos,Atlantic-Congo
Ethnographic Atlas,Mota,Ih1,xd862,Mota (Ih1),,,-13.84,167.7,-14,168,mota1237,Mota,mtt,Austronesian
Ethnographic Atlas,Sarcee,Ne7,xd1226,Sarsi (Ne7),,,54,-110,54,-110,sars1236,Sarsi,srs,Athapaskan-Eyak-Tlingit
Ethnographic Atlas,Motu,Ie10,xd786,Motu (Ie10),,,-9,147,-9,147,motu1246,Motu,meu,Austronesian
Binford Hunter-Gatherer,Mountain Dene,B350,xd1007,Mountain (B350),,,63.68,-125.37,63.68,-125.37,nort2942,North Slavey,scs,Athapaskan-Eyak-Tlingit
Ethnographic Atlas,Mpongwe,Ae46,xd167,Mpongwe (Ae46),,,-2,10,-2,10,myen1241,Myene,mye,Atlantic-Congo
Ethnographic Atlas,Muisca,Sf6,xd1379,Chibcha (Sf6),,,5,-72,5,-72,chib1270,Chibcha,chb,Chibchan
Ethnographic Atlas,Muju,Ie23,xd800,Muju (Ie23),,,-6,141,-6,141,sout2940,South Muyu,kts,Nuclear Trans New Guinea
Binford Hunter-Gatherer,Mulluk,B99,xd948,Mulluk (B99),,,-13.58,130.58,-13.58,130.58,mull1237,Mullukmulluk,mpb,Northern Daly
Ethnographic Atlas,Sateré Mawé,Sd5,xd1357,Maue (Sd5),,,-4,-57,-4,-57,sate1243,Sateré-Mawé,mav,Tupian
Ethnographic Atlas,Mumuye,Ah31,xd322,Mumuye (Ah31),,,9,12,9,12,nucl1240,Mumuye,mzm,Atlantic-Congo
Ethnographic Atlas,Mundang,Ai15,xd343,Mundang (Ai15),,,10,14,10,14,mund1325,Mundang,mua,Atlantic-Congo
Ethnographic Atlas,Munduruku,Sd1,xd1353,Mundurucu (Sd1),Mundurucu,SQ13,-6,-58,-6,-58,mund1330,Mundurukú,myu,Tupian
Standard cross-cultural sample,Munduruku,SCCS166,xd1353,Mundurucu (SCCS166),Mundurucu,SQ13,-6.5,-56.5,-6.5,-56.5,mund1330,Mundurukú,myu,Tupian
Ethnographic Atlas,Muong,Ej13,xd720,Muong (Ej13),,,21,105,21,105,muon1246,Muong,mtq,Austroasiatic
Ethnographic Atlas,Muria Gond,Eg13,xd676,Muria Gond (Eg13),Gond,AW32,20,81,20,81,nort2702,Northern Gondi,gno,Dravidian
Ethnographic Atlas,Sawakudokwa,Nd25,xd1158,Sawakudokwa (Nd25),,,41,-118,41,-118,nort1551,North Northern Paiute,,Uto-Aztecan
Ethnographic Atlas,Murriny Patha,Id7,xd782,Murinbata (Id7),,,-14,130,-14,130,murr1258,Murrinh-Patha,mwf,Southern Daly
Ethnographic Atlas,Muscogee,Ng3,xd1252,Creek (Ng3),Creek,NN11,33,-84,33,-84,cree1270,Creek,mus,Muskogean
Standard cross-cultural sample,Muscogee,SCCS145,xd1252,Creek (SCCS145),Creek,NN11,32.93,-86,32.93,-86,cree1270,Creek,mus,Muskogean
Ethnographic Atlas,Musgu,Ai19,xd347,Musgu (Ai19),,,11,15,11,15,musg1254,Musgu,mug,Afro-Asiatic
Western North American Indian database,Musqueam,WNAI20,xd1441,Lower Fraser Salish (J20),,,49.37,-123.24,49.3,123.3,musq1240,Musqueam,,Salishan
